K. Tidur,K. Mandi,L. Tanah,L. Bangunan,Tipe Properti,Sertifikat,price_juta,installment_juta,kecamatan,provinsi,Longitude,Latitude,num_facilities,outdoor_facilities,ac,security,laundry,park,published_date,num_char_desc,no_banjir,transportation
2.0,1.0,112.0,60.0,Rumah,HGB - Hak Guna Bangunan,600.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,5,1,1,1,0,0,2021-11-24,551,0,0
2.0,2.0,78.0,70.0,Rumah,SHM - Sertifikat Hak Milik,790.0,5.0,Klender,Jakarta Timur,106.9056496,-6.2201747,4,1,1,1,0,0,2021-11-16,278,0,1
2.0,1.0,58.0,40.0,Rumah,SHM - Sertifikat Hak Milik,685.0,4.0,Cipayung,Jakarta Timur,106.8930244,-6.329545,2,1,0,1,0,0,2021-11-09,329,0,1
3.0,2.0,72.0,82.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Jatiwaringin,Jakarta Timur,106.9138842,-6.2485324,1,0,0,0,0,0,2021-10-26,897,0,0
2.0,1.0,120.0,38.0,Rumah,SHM - Sertifikat Hak Milik,475.0,3.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,5,1,1,1,0,0,2022-09-06,604,0,1
2.0,1.0,50.0,130.0,Rumah,SHM - Sertifikat Hak Milik,380.0,2.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,5,1,1,1,0,0,2022-09-06,581,0,1
2.0,2.0,40.0,80.0,Rumah,SHM - Sertifikat Hak Milik,695.0,4.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,9,1,1,1,1,0,2022-10-07,351,1,0
2.0,1.0,74.0,50.0,Rumah,SHM - Sertifikat Hak Milik,790.0,5.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,4,0,1,1,0,0,2022-10-09,538,0,1
3.0,1.0,72.0,52.0,Rumah,SHM - Sertifikat Hak Milik,595.0,4.0,Lebak Bulus,Jakarta Selatan,106.78035387188287,-6.3025678,15,1,1,1,1,0,2022-09-24,1329,0,1
3.0,2.0,62.0,60.0,Rumah,SHM - Sertifikat Hak Milik,655.0,4.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,15,1,1,1,1,1,2022-10-06,976,1,1
